,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
2724,0,0,0,0,2,1,2,1,0,0,0,0,0,2,0,1,2,85.7,169.8
5244,1,1,0,0,35,1,0,0,0,0,2,2,2,2,1,1,2,73.0,2471.25
8403,1,0,0,0,26,1,2,1,0,0,0,0,0,2,0,1,2,83.95,2254.2
9220,1,0,1,0,9,0,1,0,0,0,0,0,0,0,1,0,0,24.1,259.8
9261,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.95,20.95
9954,1,1,0,0,9,1,2,1,0,0,0,0,0,2,0,1,2,83.85,790.15
5328,1,0,0,0,20,1,0,0,0,0,0,2,0,0,0,0,3,50.0,1003.05
664,0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,1,3,74.75,238.1
6735,0,0,0,0,54,1,2,1,0,0,0,2,2,2,0,1,2,100.1,5440.9
3473,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,3,45.3,196.95
9424,1,0,1,1,3,1,0,0,0,0,2,0,0,0,0,1,2,50.15,168.15
4381,1,0,0,0,30,1,2,1,2,0,0,0,2,2,0,1,0,100.4,2936.25
9913,1,0,1,0,10,1,2,1,0,0,2,0,2,2,0,1,2,98.5,1037.75
3024,1,0,1,1,23,1,2,0,0,0,0,0,0,0,1,1,1,48.35,1067.15
675,0,0,0,0,48,1,2,2,1,1,1,1,1,1,1,0,0,24.55,1203.95
8688,0,0,0,0,57,1,0,1,0,0,2,0,2,2,2,1,2,95.25,5464.65
3298,0,0,0,0,4,1,2,1,0,2,0,0,0,0,0,0,0,77.95,305.55
7391,0,0,1,1,13,1,0,1,0,0,0,0,2,2,0,0,2,88.35,1222.8
1962,1,0,0,0,69,1,2,0,2,2,2,2,0,2,1,1,1,78.6,5356.45
1840,1,0,0,0,69,0,1,0,0,2,2,0,0,0,1,1,0,35.75,2492.25
8066,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.1,45.1
6380,0,0,1,1,58,1,0,2,1,1,1,1,1,1,2,0,1,19.55,1079.65
4084,0,0,0,0,20,1,2,0,0,2,0,2,0,2,0,1,1,68.9,1370.35
